Observer's latitude (deg) ? 147
Day of the month (1-31)? 6
Month (1-12) ? 3
Right ascension (h,m)   ? 9,54
Declination (deg)       ? 76

From (h,m): ? 7,54
To (h,m):   ? 6,43

Positive rotation rates are clockwise:
 13h 11    Rotation  -0.29
 13h 12    Rotation  -0.29
 13h 13    Rotation  -0.29
 13h 14    Rotation  -0.29
 13h 15    Rotation  -0.29
 13h 16    Rotation  -0.29
 13h 17    Rotation  -0.29
 13h 18    Rotation  -0.29
 13h 19    Rotation  -0.29
 13h 20    Rotation  -0.29
 13h 21    Rotation  -0.29
 13h 22    Rotation  -0.29
 13h 23    Rotation  -0.29
 13h 24    Rotation  -0.29
 13h 25    Rotation  -0.29
 13h 26    Rotation  -0.29
 13h 27    Rotation  -0.28
 13h 28    Rotation  -0.28
 13h 29    Rotation  -0.28
 13h 30    Rotation  -0.28
 13h 31    Rotation  -0.28
 13h 32    Rotation  -0.28
 13h 33    Rotation  -0.28
 13h 34    Rotation  -0.28
 13h 35    Rotation  -0.28
 13h 36    Rotation  -0.28
 13h 37    Rotation  -0.28
 13h 38    Rotation  -0.28
 13h 39    Rotation  -0.28
 13h 40    Rotation  -0.28
 13h 41    Rotation  -0.28
 13h 42    Rotation  -0.28
 13h 43    Rotation  -0.28
 13h 44    Rotation  -0.28
 13h 45    Rotation  -0.28
 13h 46    Rotation  -0.28
 13h 47    Rotation  -0.28
 13h 48    Rotation  -0.28
 13h 49    Rotation  -0.28
 13h 50    Rotation  -0.28
 13h 51    Rotation  -0.28
 13h 52    Rotation  -0.28
 13h 53    Rotation  -0.28
 13h 54    Rotation  -0.28
 13h 55    Rotation  -0.28
 13h 56    Rotation  -0.28
 13h 57    Rotation  -0.28
 13h 58    Rotation  -0.28
 13h 59    Rotation  -0.28
 14h  0    Rotation  -0.28
 14h  1    Rotation  -0.28
 14h  2    Rotation  -0.28
 14h  3    Rotation  -0.28
 14h  4    Rotation  -0.27
 14h  5    Rotation  -0.27
 14h  6    Rotation  -0.27
 14h  7    Rotation  -0.27
 14h  8    Rotation  -0.27
 14h  9    Rotation  -0.27
 14h 10    Rotation  -0.27
 14h 11    Rotation  -0.27
 14h 12    Rotation  -0.27
 14h 13    Rotation  -0.27
 14h 14    Rotation  -0.27
 14h 15    Rotation  -0.27
 14h 16    Rotation  -0.27
 14h 17    Rotation  -0.27
 14h 18    Rotation  -0.27
 14h 19    Rotation  -0.27
 14h 20    Rotation  -0.27
 14h 21    Rotation  -0.27
 14h 22    Rotation  -0.27
 14h 23    Rotation  -0.27
 14h 24    Rotation  -0.27
 14h 25    Rotation  -0.27
 14h 26    Rotation  -0.27
 14h 27    Rotation  -0.27
 14h 28    Rotation  -0.27
 14h 29    Rotation  -0.27
 14h 30    Rotation  -0.27
 14h 31    Rotation  -0.27
 14h 32    Rotation  -0.27
 14h 33    Rotation  -0.27
 14h 34    Rotation  -0.27
 14h 35    Rotation  -0.27
 14h 36    Rotation  -0.27
 14h 37    Rotation  -0.27
 14h 38    Rotation  -0.27
 14h 39    Rotation  -0.27
 14h 40    Rotation  -0.27
 14h 41    Rotation  -0.27
 14h 42    Rotation  -0.26
 14h 43    Rotation  -0.26
 14h 44    Rotation  -0.26
 14h 45    Rotation  -0.26
 14h 46    Rotation  -0.26
 14h 47    Rotation  -0.26
 14h 48    Rotation  -0.26
 14h 49    Rotation  -0.26
 14h 50    Rotation  -0.26
 14h 51    Rotation  -0.26
 14h 52    Rotation  -0.26
 14h 53    Rotation  -0.26
 14h 54    Rotation  -0.26
 14h 55    Rotation  -0.26
 14h 56    Rotation  -0.26
 14h 57    Rotation  -0.26
